"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"225081_s_at",193.680087700881,-1.31352942774712,0.218404233045966,-6.01421231369023,1.80763471840499e-09,5.5994342904784e-08
"225095_at",203.164205890445,1.005999852371,0.153430580770786,6.55671018982775,5.50077674481543e-11,2.58468113689782e-09
"225173_at",124.476023627282,-1.14103418947218,0.260962597833504,-4.37240508388936,1.22885247141391e-05,0.000117911002099324
"225239_at",1715.00723731198,-2.24717184606984,0.169460934416013,-13.2607072763638,3.91188828865384e-40,1.03485092788049e-35
"225507_at",756.185962666469,-1.46196301670026,0.186231505818585,-7.85024537214669,4.15224081852801e-15,6.13676282900489e-13
"225640_at",882.285476905,-1.63324424177234,0.232059145447065,-7.03805160803238,1.94946490122405e-12,1.36146056484196e-10
"226123_at",196.775092276341,-1.05271708742871,0.166645134172187,-6.31711866450889,2.66484962447192e-10,1.03693767474409e-08
"226150_at",289.221315115436,-1.5879688425234,0.193010366247473,-8.22737593527667,1.91359160636395e-16,4.04977218838015e-14
"226223_at",28.3394008619562,-1.07088235749158,0.197281293524514,-5.42820020266401,5.69251657238698e-08,1.11150102964757e-06
"226250_at",52.4871349003969,-1.05243289562775,0.137953017186126,-7.62892263681201,2.36723634533813e-14,2.85949179358789e-12
"226319_s_at",262.955681849994,1.97894271392629,0.21296763370361,9.29222285805372,1.51099155569356e-20,7.99435412286347e-18
"226320_at",98.7651401178965,1.04790834195846,0.152933699482622,6.85204337241273,7.2802474183185e-12,4.28934666379059e-10
"226384_at",193.657829865719,-1.22219001536868,0.183124507254398,-6.67409312763804,2.48765617532059e-11,1.2728908406563e-09
"226533_at",66.7026760304448,1.70812746395379,0.182461437434997,9.36158066036462,7.85525965494864e-21,4.39121318574745e-18
"226537_at",34.5890657930662,1.74118575231793,0.176576381914148,9.86080773341758,6.15522134759626e-23,5.81536519747541e-20
"226663_at",260.921527505199,1.02699107938931,0.203585151590674,5.04452840182652,4.54641300701462e-07,6.93203514049365e-06
"226675_s_at",1748.80791702037,-1.52714639196901,0.197761020415988,-7.72218098772284,1.14355857271345e-14,1.482926396204e-12
"226869_at",38.7671450921919,-1.03144322270177,0.186245365177891,-5.53808800405095,3.05791605229395e-08,6.50797355168014e-07
"226928_x_at",51.148531358529,-1.22000021504082,0.179521330891726,-6.79585099431238,1.07675023493511e-11,6.06416375922701e-10
"227062_at",366.530824242689,-2.5880102784668,0.235069848730707,-11.0095373457767,3.43764452326114e-28,1.51565747030584e-24
"227082_at",35.8022939315095,-1.25216255129914,0.260630536515226,-4.80435856842119,1.55248393512968e-06,2.00632193551151e-05
"227198_at",173.793307854739,-1.35494423975171,0.262615884791457,-5.15941463642867,2.47723139254832e-07,4.06026513373441e-06
"227223_at",617.887062246557,-1.52341759367552,0.242924677275019,-6.27115207382095,3.58386370033389e-10,1.34565990408975e-08
"227404_s_at",530.442988185244,-1.75615770251552,0.467978599966398,-3.75264531891334,0.00017497833859866,0.00113064899103297
"227510_x_at",390.259021112582,-3.4634527202954,0.299592237003343,-11.5605556236651,6.52849910203429e-31,5.75683050817383e-27
